,Titulo,Autor,NotaMedia,Rango,NumVotos,NumCriticas,Genero,Editorial,AñoEdicion,Resumen
78,UN MUNDO SIN FIN. Los pilares de la Tierra 2,"FOLLETT, KEN","7,49",Muy bueno,2.016,155,Histórica y aventuras,PLAZA & JANÉS,2007,"Dieciséis años después de la publicación de Los pilares de la Tierra, Ken Follet vuelve al fascinante mundo de Kingsbridge para presentar a sus lectores una magnífica saga épica marcada por el amor, la guerra y la peste. Los pilares de la Tierra narra los acontecimientos de la ciudad inglesa de King...
										
									"
79,TOKIO BLUES (NORWEGIAN WOOD),"MURAKAMI, HARUKI","7,49",Muy bueno,1.617,130,"Romántica, erótica",TUSQUETS,2007,"Una historia de amor triangular que se convierte en el relato de una educación sentimental pero también de las pérdidas que implica toda maduración. Toru Watanabe, un ejecutivo de 37 años, escucha casualmente mientras aterriza en un aeropuerto europeo una vieja canción de los Beatles, y la música le...
										
									"
80,LA CONJURA DE LOS NECIOS,"TOOLE, JOHN KENNEDY","7,49",Muy bueno,1.500,115,Literatura contemporánea,ANAGRAMA,2013,"En este libro todo es extraordinario, empezando por su historia. Escrito a principios de los años 60, el autor no pudo conseguir que se editara; creyéndose un escritor frustrado se suicidó en 1969, a los 32 años. Su madre siguió intentando infatigablemente    su publicación, lo que no consiguió hast...
										
									"
81,EL EXTRAÑO CASO DEL DR. JEKYLL Y MR. HYDE,"STEVENSON, ROBERT LOUIS","7,49",Muy bueno,1.094,52,Clásicos de la literatura,NÓRDICA,2010,"En sus cuadernos, el Dr. Jekyll confiesa que en su juventud consiguió una poción que lograba transformar a una persona en uno solo de sus polos opuestos. Así, cada vez que Jekyll tomaba la poción, se metamorfoseaban en Hyde, un verdadero asesino y misántropo. Un día, Poole, el mayordomo del Dr. Jeky...
										
									"
82,ALICIA EN EL PAÍS DE LAS MARAVILLAS,"CARROLL, LEWIS","7,48",Muy bueno,1.184,42,Clásicos de la literatura,ALIANZA,2010,"Escrito en 1865, es un clásico no sólo de la literatura juvenil, sino de la literatura en general. Popularizado por las decenas de versiones que de él se han llevado a cabo, el relato que el reverendo Charles Dodgson, verdadero nombre de LEWIS CARROLL, escribiera para la niña Alicia Liddell, de diez...
										
									"
83,MADAME BOVARY,"FLAUBERT, GUSTAVE","7,48",Muy bueno,1.035,68,Clásicos de la literatura,SIRUELA,2014,"La soñadora Emma, una joven de provincias casada con Charles Bovary, quien la ama pero es incapaz de comprenderla y satisfacerla, buscará la realización de sus sueños en otros amores, pasionales, platónicos..., pero ninguno de ellos logrará calmar su desesperada ansiedad y sus románticas inquietudes...
										
									"
84,EL GUARDIÁN INVISIBLE. Trilogía del Baztán 1,"REDONDO, DOLORES","7,47",Muy bueno,1.518,210,"Novela negra, intriga, terror",DESTINO,2013,"«Ainhoa Elizasu fue la segunda víctima del basajaun, aunque entonces la prensa todavía no lo llamaba así. Fue un poco más tarde cuando trascendió que alrededor de los cadáveres aparecían pelos de animal, restos de piel y rastros dudosamente humanos, unidos a una especie de fúnebre ceremonia de purif...
										
									"
85,MEMORIAS DE UNA GEISHA,"GOLDEN, ARTHUR","7,46",Muy bueno,1.692,100,Ficción literaria,SUMA DE LETRAS,2006,"En esta maravillosa novela escuchamos las confesiones de Sayuri, una de las más hermosas geishas del Japón de entreguerras, un país en el que aún resonaban los ecos feudales y donde las tradiciones ancestrales empezaban a convivir con los modos occidentales. De la mano de Sayuri entraremos un mundo...
										
									"
86,LA METAMORFOSIS,"KAFKA, FRANZ","7,43",Muy bueno,2.851,132,Literatura contemporánea,ALIANZA,2011,"Al despertar Gregorio Samsa una mañana, tras un sueño intranquilo, encontróse en su cama convertido en un monstruoso insecto. Tal es el abrupto comienzo, que nos sitúa de raíz bajo unas reglas distintas, de LA METAMORFOSIS, sin duda alguna la obra de Franz Kafka (1883-1924) que ha alcanzado mayor ce...
										
									"
87,EL PERFUME,"SÜSKIND, PATRICK","7,41",Muy bueno,3.676,237,"Novela negra, intriga, terror",SEIX BARRAL,2007,"Uno de los grandes fenómenos editoriales a escala mundial ahora llevado al cine. Para conseguir el favor de las damas y el dominio de los poderosos, Baptiste elabora un raro perfume que subyuga la voluntad de quien lo huele. La esencia proviene de los fluidos de jovencitas vírgenes y para conseguirl...
										
									"
